service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
L8A8_L8A4,0,0,0,0,0,0,0,20251120,20260223
L8A8_L8A5,0,0,0,0,0,0,0,20251120,20260223
L8A8_L8A6,0,0,0,0,0,0,0,20251120,20260223
L8A8_L8A7,0,0,0,0,0,0,0,20251120,20260223
L8A8_L8A8,0,0,0,0,0,0,0,20251120,20260223
L8B6NCH_L8A1,0,0,0,0,0,0,0,20251224,20251231
L8B6NCH_L8A2,0,0,0,0,0,0,0,20251224,20251231
L8B6NCH_L8A3,0,0,0,0,0,0,0,20251224,20251231
L8B6NCH_L8A4,0,0,0,0,0,0,0,20251224,20251231
L8B6NCH_L8A5,0,0,0,0,0,0,0,20251224,20251231
L8B6NCH_L8A6,0,0,0,0,0,0,0,20251224,20251231
L9A4F_L9A1,0,0,0,0,0,0,0,20251123,20260222
L9A4F_L9A2,0,0,0,0,0,0,0,20251123,20260222
L9A4F_L9A3,0,0,0,0,0,0,0,20251123,20260222
L9A4F_L9A4,0,0,0,0,0,0,0,20251123,20260222
L9A4FNAV_L9A1,0,0,0,0,0,0,0,20251225,20260101
L9A4FNAV_L9A2,0,0,0,0,0,0,0,20251225,20260101
L9A4FNAV_L9A3,0,0,0,0,0,0,0,20251225,20260101
L9A4FNAV_L9A4,0,0,0,0,0,0,0,20251225,20260101
L9A4S_L9A1,0,0,0,0,0,0,0,20251122,20260221
L9A4S_L9A2,0,0,0,0,0,0,0,20251122,20260221
L9A4S_L9A3,0,0,0,0,0,0,0,20251122,20260221
L9A4S_L9A4,0,0,0,0,0,0,0,20251122,20260221
L9A8_L9A1,0,0,0,0,0,0,0,20251120,20260223
L9A8_L9A2,0,0,0,0,0,0,0,20251120,20260223
L9A8_L9A3,0,0,0,0,0,0,0,20251120,20260223
L9A8_L9A4,0,0,0,0,0,0,0,20251120,20260223
L9A8_L9A5,0,0,0,0,0,0,0,20251120,20260223
L9A8_L9A6,0,0,0,0,0,0,0,20251120,20260223
L9A8_L9A7,0,0,0,0,0,0,0,20251120,20260223
L9A8_L9A8,0,0,0,0,0,0,0,20251120,20260223
L9A8NCH_L9A1,0,0,0,0,0,0,0,20251224,20251231
L9A8NCH_L9A2,0,0,0,0,0,0,0,20251224,20251231
L9A8NCH_L9A3,0,0,0,0,0,0,0,20251224,20251231
L9A8NCH_L9A4,0,0,0,0,0,0,0,20251224,20251231
L9A8NCH_L9A5,0,0,0,0,0,0,0,20251224,20251231
L9A8NCH_L9A6,0,0,0,0,0,0,0,20251224,20251231
L9A8NCH_L9A7,0,0,0,0,0,0,0,20251224,20251231
L9A8NCH_L9A8,0,0,0,0,0,0,0,20251224,20251231
LB1_LB1A1,0,0,0,0,0,0,0,20251121,20260221
LB1_LB1A2,0,0,0,0,0,0,0,20251121,20260221
LB2_LB2A1,0,0,0,0,0,0,0,20251121,20260221
LB2_LB2A2,0,0,0,0,0,0,0,20251121,20260221
LB3_LB3A1,0,0,0,0,0,0,0,20251121,20260221
