service_id,date,exception_type
L7A9_L7A9,20250311,1
L7A9_L7A1,20250312,1
L7A9_L7A2,20250312,1
L7A9_L7A3,20250312,1
L7A9_L7A4,20250312,1
L7A9_L7A5,20250312,1
L7A9_L7A6,20250312,1
L7A9_L7A7,20250312,1
L7A9_L7A8,20250312,1
L7A9_L7A9,20250312,1
L7A9_L7A1,20250313,1
L7A9_L7A2,20250313,1
L7A9_L7A3,20250313,1
L7A9_L7A4,20250313,1
L7A9_L7A5,20250313,1
L7A9_L7A6,20250313,1
L7A9_L7A7,20250313,1
L7A9_L7A8,20250313,1
L7A9_L7A9,20250313,1
L7A9_L7A1,20250314,1
L7A9_L7A2,20250314,1
L7A9_L7A3,20250314,1
L7A9_L7A4,20250314,1
L7A9_L7A5,20250314,1
L7A9_L7A6,20250314,1
L7A9_L7A7,20250314,1
L7A9_L7A8,20250314,1
L7A9_L7A9,20250314,1
L7A9_L7A1,20250317,1
L7A9_L7A2,20250317,1
L7A9_L7A3,20250317,1
L7A9_L7A4,20250317,1
L7A9_L7A5,20250317,1
L7A9_L7A6,20250317,1
L7A9_L7A7,20250317,1
L7A9_L7A8,20250317,1
L7A9_L7A9,20250317,1
L7A9_L7A1,20250318,1
L7A9_L7A2,20250318,1
L7A9_L7A3,20250318,1
L7A9_L7A4,20250318,1
L7A9_L7A5,20250318,1
L7A9_L7A6,20250318,1
L7A9_L7A7,20250318,1
L7A9_L7A8,20250318,1
L7A9_L7A9,20250318,1
L7A9_L7A1,20250319,1
L7A9_L7A2,20250319,1
L7A9_L7A3,20250319,1
L7A9_L7A4,20250319,1
L7A9_L7A5,20250319,1
L7A9_L7A6,20250319,1
L7A9_L7A7,20250319,1
L7A9_L7A8,20250319,1
L7A9_L7A9,20250319,1
L7A9_L7A1,20250320,1
L7A9_L7A2,20250320,1
L7A9_L7A3,20250320,1
L7A9_L7A4,20250320,1
L7A9_L7A5,20250320,1
L7A9_L7A6,20250320,1
L7A9_L7A7,20250320,1
L7A9_L7A8,20250320,1
L7A9_L7A9,20250320,1
L7A9_L7A1,20250321,1
L7A9_L7A2,20250321,1
L7A9_L7A3,20250321,1
L7A9_L7A4,20250321,1
L7A9_L7A5,20250321,1
L7A9_L7A6,20250321,1
L7A9_L7A7,20250321,1
L7A9_L7A8,20250321,1
L7A9_L7A9,20250321,1
L7A9_L7A1,20250324,1
L7A9_L7A2,20250324,1
L7A9_L7A3,20250324,1
L7A9_L7A4,20250324,1
L7A9_L7A5,20250324,1
L7A9_L7A6,20250324,1
L7A9_L7A7,20250324,1
L7A9_L7A8,20250324,1
L7A9_L7A9,20250324,1
L7A9_L7A1,20250325,1
L7A9_L7A2,20250325,1
L7A9_L7A3,20250325,1
L7A9_L7A4,20250325,1
L7A9_L7A5,20250325,1
L7A9_L7A6,20250325,1
L7A9_L7A7,20250325,1
L7A9_L7A8,20250325,1
L7A9_L7A9,20250325,1
